date,PP,PSOE,ERC,PNVEAJ,CC,BNG,Cs,VOX,Podemos,EHBildu,PACMA,PDeCAT,Comp,JuntsxCat,Naplus,MP,CUP,Sumar,firm,date_from,sample_size
2014-05-15,33.8,25.7,NA,NA,NA,NA,2.9,1.3,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2014-05-13,1111
2014-05-31,25.6,19.4,3.3,NA,NA,NA,3.5,NA,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,GESOP,2014-05-27,1000
2014-06-06,32.4,22.3,1.9,1.1,0.6,0.6,3.7,0.7,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2014-06-04,1100
2014-06-11,34.6,21.9,NA,NA,NA,NA,NA,NA,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2014-05-28,955
2014-06-14,28.8,14.7,NA,1.6,NA,NA,NA,NA,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2014-06-02,1035
2014-07-05,33.5,23.2,1.7,1.1,0.6,0.6,3.7,0.8,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2014-07-01,1100
2014-07-05,30,26,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demoscopia Servicios,2014-07-05,NA
2014-07-08,29,15.1,NA,1.6,NA,NA,NA,NA,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2014-07-01,1112
2014-07-09,30,21.2,3.3,1,0.3,0.5,0.9,NA,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2014-07-01,2471
2014-07-11,26.5,22.4,NA,NA,NA,NA,3,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2014-07-07,NA
2014-07-18,26.4,22.7,NA,NA,NA,NA,3.1,NA,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2014-07-14,NA
2014-07-24,33.8,24.1,1.8,1.1,0.6,0.7,3.7,0.7,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2014-07-18,1100
2014-07-24,32.3,31.7,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2014-07-16,1200
2014-08-08,29.4,16.7,NA,0.8,NA,NA,NA,NA,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2014-08-01,1053
2014-08-28,30.1,22.3,3.3,1,NA,NA,NA,NA,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2014-08-26,1000
2014-08-30,33.9,23.4,2.2,1.3,1,0.6,2.6,0.8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2014-08-25,900
2014-09-05,33.1,24.5,2,1,0.6,0.6,3.7,0.6,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2014-09-01,1100
2014-09-12,34.2,23.3,NA,NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2014-09-08,955
2014-09-12,32.8,20,NA,1,NA,NA,NA,NA,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2014-09-05,NA
2014-09-19,29.2,20.7,3.4,1.2,NA,NA,NA,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2014-09-15,NA
2014-09-26,32.7,24.2,NA,NA,NA,NA,3.1,NA,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demoscopia Servicios,2014-09-22,NA
2014-09-30,30.2,30.9,NA,NA,NA,NA,NA,NA,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2014-09-29,1000
2014-10-03,28.6,20.9,3.3,1.2,NA,NA,NA,NA,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2014-09-29,NA
2014-10-07,32.6,25.4,1.9,1,0.6,0.6,3.6,0.5,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2014-10-01,1100
2014-10-09,32.6,21.6,NA,NA,NA,NA,NA,NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,JM&A,2014-10-09,NA
2014-10-10,29.7,24.6,NA,1.1,NA,NA,NA,NA,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2014-10-03,NA
2014-10-13,27.5,23.9,2.3,1,0.3,0.4,2.1,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2014-10-01,2480
2014-10-16,28.3,23.7,2.6,1.2,NA,NA,1.8,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2014-10-13,1100
2014-10-17,28.2,21.4,3.4,1.2,NA,NA,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2014-10-13,NA
2014-10-25,29.5,23.9,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asturbarómetro,2014-10-10,402
2014-10-29,20.7,26.2,NA,NA,NA,NA,NA,NA,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2014-10-28,1000
2014-10-31,26.4,20.5,3.4,NA,NA,NA,NA,NA,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2014-10-27,NA
2014-10-31,25.1,22.6,NA,NA,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Llorente & Cuenca,2014-10-31,NA
2014-11-06,26.9,19.5,NA,NA,NA,NA,5.6,NA,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,DYM,2014-10-28,985
2014-11-07,30.5,24.5,2.2,1,0.6,0.6,4,0.5,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2014-11-03,1100
2014-11-12,25,18.2,NA,0.7,NA,NA,NA,NA,31.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2014-11-01,1030
2014-11-14,26,21.6,3.2,NA,NA,NA,2.3,NA,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2014-11-10,NA
2014-11-14,27.7,22,2.6,1,0.4,0.3,2.6,1.3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,JM&A,2014-11-14,NA
2014-11-19,26.3,20.1,2.8,1.1,NA,NA,2.5,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2014-11-17,1000
2014-12-03,20,27.7,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2014-12-02,1000
2014-12-04,26.5,19.6,2.6,1,NA,NA,2.4,NA,29.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2014-12-02,1000
2014-12-05,29.9,24.1,2.1,1,0.6,0.6,3.9,0.5,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2014-12-01,1100
2014-12-05,25.7,21.8,3.1,NA,NA,NA,2.7,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2014-12-01,NA
2014-12-10,23.1,19.3,NA,0.3,NA,NA,NA,NA,31.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2014-12-01,1039
2014-12-13,26.1,16.7,NA,NA,NA,NA,4.2,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,DYM,2014-12-13,NA
2014-12-15,26.1,19.8,2.2,NA,NA,NA,3.8,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,GESOP,2014-12-09,1000
2014-12-18,26.5,18.7,2.8,1.1,NA,NA,3.1,NA,28.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2014-12-12,1800
2014-12-19,25.5,22,NA,NA,NA,NA,3.1,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2014-12-15,1200
2014-12-30,28.6,23.4,2,1.3,NA,NA,2.8,NA,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2014-12-09,1600
2015-01-06,24.6,19,2.4,NA,NA,NA,5,NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,MyWord,2014-12-30,1001
2015-01-08,19.2,23.5,NA,NA,NA,NA,8.1,NA,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2015-01-07,1000
2015-01-09,31.1,23.8,2,1,0.5,0.6,4.5,0.5,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2015-01-02,1100
2015-01-12,27.3,22.2,1.6,0.7,0.5,0.5,3.1,NA,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2015-01-02,2481
2015-01-14,29.4,19.4,2.7,1.1,NA,NA,4.6,NA,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2015-01-12,1800
2015-01-14,24.5,18.6,NA,0.4,NA,NA,5.8,NA,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2015-01-07,1025
2015-01-15,29.3,23,NA,NA,NA,NA,3.8,NA,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2015-01-07,NA
2015-01-16,29.3,19.2,1.8,1.3,NA,NA,6.3,NA,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAD3,2015-01-09,1000
2015-01-23,22,19.1,2.3,1.3,NA,NA,7.6,NA,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encuestamos,2015-01-23,NA
2015-01-29,27.1,21.4,2.4,NA,NA,NA,5,NA,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2015-01-26,1000
2015-02-04,20.9,18.3,NA,NA,NA,NA,12.2,NA,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2015-02-03,1000
2015-02-06,31.8,24.4,2,1,0.6,0.7,6.2,0.4,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2015-02-02,1100
2015-02-06,28.3,21.8,NA,NA,NA,NA,4.5,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demoscopia Servicios,2015-02-02,NA
2015-02-06,26.1,20.1,NA,NA,NA,NA,3.8,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2015-02-02,1200
2015-02-09,26.8,17.8,NA,1,NA,NA,8.5,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2015-02-02,1058
2015-02-11,22.5,19.5,NA,NA,NA,NA,13.4,NA,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,MyWord,2015-02-09,1000
2015-02-12,29.6,20.1,2.4,1.2,NA,NA,7.3,NA,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2015-02-09,1800
2015-02-14,27.1,19.6,NA,1,0.4,0.3,4,1.2,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,JM&A,2015-02-14,NA
2015-02-15,29.3,22.8,2,1.2,0.4,0.4,3.3,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2015-02-15,NA
2015-02-26,25.5,19.9,2.2,1.3,NA,NA,10.1,NA,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encuestamos,2015-02-26,600
2015-02-26,27.8,21.5,2.8,1.3,NA,NA,NA,NA,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2015-02-23,NA
2015-03-01,25.9,18.6,2,1.1,0.4,0.3,9.4,1.1,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,JM&A,2015-03-01,NA
2015-03-04,18.6,20.2,NA,NA,NA,NA,18.4,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2015-03-03,1000
2015-03-06,30.9,26.4,1.9,1,0.7,0.8,11.7,0.5,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2015-03-02,1100
2015-03-09,22,19.1,NA,NA,NA,NA,18.8,NA,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,MyWord,2015-03-04,1000
2015-03-13,23,18.7,NA,1.3,NA,NA,18,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2015-03-02,1058
2015-03-26,23.7,23.6,2.1,1.2,NA,NA,14.7,NA,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encuestamos,2015-03-26,900
2015-03-27,26.4,20.3,NA,NA,NA,NA,14.8,NA,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2015-03-23,1200
2015-04-02,29.7,23.5,NA,1.2,0.4,0.4,NA,NA,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2015-03-30,900
2015-04-08,29.5,26.6,1.8,1.1,0.7,0.8,12.1,0.6,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2015-04-01,1100
2015-04-09,20.8,21.9,NA,NA,NA,NA,19.4,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2015-04-07,1000
2015-04-09,26.6,19.7,2.3,1.2,NA,NA,16.6,NA,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2015-04-07,1800
2015-04-12,25.6,24.3,2,0.7,0.5,0.6,13.8,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2015-04-01,2479
2015-04-13,23.5,19.1,1.9,NA,NA,NA,17.7,NA,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,GESOP,2015-04-08,1000
2015-04-13,21.3,21.1,NA,1.3,NA,NA,20.8,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2015-04-01,1059
2015-04-16,28.6,23.7,NA,NA,NA,NA,11.7,NA,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2015-04-08,NA
2015-04-17,26.2,21,2.7,1.3,NA,NA,17.6,NA,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2015-04-13,NA
2015-04-20,22.9,24,3,1,NA,NA,15.8,NA,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encuestamos,2015-04-02,1000
2015-04-22,22,21,NA,NA,NA,NA,19.4,NA,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,MyWord,2015-04-17,1000
2015-04-25,28.6,23.8,NA,NA,NA,NA,12,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2015-04-20,900
2015-05-08,29.2,26.6,1.8,1.1,0.6,0.7,12.1,0.6,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2015-05-04,1100
2015-05-12,23,24.3,2.6,1.3,0.5,1.1,14.9,NA,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encuestamos,2015-05-01,1000
2015-05-12,25.9,19.2,NA,1.3,NA,NA,18.9,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2015-05-04,1064
2015-05-13,25.7,22.4,NA,NA,NA,NA,15.3,NA,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,JM&A,2015-05-13,NA
2015-05-29,25.4,22,2.8,1.4,NA,NA,15.2,NA,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2015-05-25,1200
2015-06-02,24.5,23,NA,NA,NA,NA,13,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2015-05-28,2000
2015-06-05,30.1,27.2,1.9,1.1,0.4,0.7,10.5,0.7,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2015-06-01,1100
2015-06-06,29.7,24.2,1.9,1.3,0.3,0.5,11.6,NA,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2015-06-02,900
2015-06-10,23.8,19.4,NA,1.3,NA,NA,17.3,NA,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2015-06-01,1026
2015-06-14,23.8,21.1,NA,NA,NA,NA,15.5,NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-06-01,1087
2015-06-17,27,26.1,2.5,1.5,NA,NA,10.3,NA,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2015-06-15,1800
2015-06-19,26.8,22.7,NA,NA,NA,NA,14.7,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,JM&A,2015-06-19,NA
2015-06-21,26.6,22,NA,NA,NA,NA,12.8,NA,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-06-08,NA
2015-06-23,25.7,25.2,2.2,1.6,0.6,0.9,9.8,NA,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encuestamos,2015-06-01,1450
2015-06-26,29.2,24.4,1.6,1.2,0.7,0.4,11.8,NA,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demoscopia Servicios,2015-06-16,1800
2015-06-26,25.9,23,2.7,1.4,NA,NA,13.2,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2015-06-22,1200
2015-06-27,31.2,24.4,1.8,1.2,0.3,0.5,11.6,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2015-06-22,900
2015-06-28,26.9,22.6,NA,NA,NA,NA,11.7,NA,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-06-15,NA
2015-07-02,23,22.5,NA,NA,NA,NA,15,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2015-07-01,1000
2015-07-05,26,22.8,NA,NA,NA,NA,12.5,NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-06-22,NA
2015-07-07,30.7,27.4,1.7,1.1,0.4,0.7,10.2,0.6,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2015-07-01,1100
2015-07-08,29.1,25.5,2.3,1.2,0.6,0.6,12.1,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAD3,2015-06-23,1000
2015-07-09,28.2,24.9,2.1,1.3,0.4,0.7,11.1,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2015-07-01,2486
2015-07-09,26.2,23.1,NA,1,NA,NA,18.4,NA,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2015-07-01,1040
2015-07-10,27.7,23.3,2.8,1.4,NA,NA,11.5,NA,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2015-07-06,1200
2015-07-12,26.1,22.2,NA,NA,NA,NA,13.6,NA,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-06-29,1000
2015-07-16,31.7,24.8,NA,NA,NA,NA,11,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2015-07-08,955
2015-07-19,27.1,22.6,NA,NA,NA,NA,13.5,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-07-06,910
2015-07-20,26,25.4,2.4,1.8,0.5,0.9,9.2,NA,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encuestamos,2015-07-01,1450
2015-07-22,23.1,23.5,NA,NA,NA,NA,16,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2015-07-20,1000
2015-07-23,28.8,24.2,2.1,1.3,NA,NA,11.1,NA,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2015-07-21,1800
2015-07-24,30.5,25.1,NA,NA,NA,NA,10.6,NA,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demoscopia Servicios,2015-07-16,1800
2015-07-26,26.8,23,NA,NA,NA,NA,13.7,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-07-13,920
2015-08-02,25.7,22.9,NA,NA,NA,NA,13.6,NA,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-07-20,1075
2015-08-07,31.4,27.6,1.6,1.1,0.4,0.7,9.9,0.6,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2015-08-03,1100
2015-08-09,26.4,22.4,NA,NA,NA,NA,13.4,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-07-27,1080
2015-08-11,29.9,21.4,NA,1,NA,NA,17.1,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2015-08-03,1022
2015-08-16,27,22.9,NA,NA,NA,NA,12.9,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-08-03,1086
2015-08-23,27.5,26,1.9,1.6,NA,NA,8.6,NA,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encuestamos,2015-08-01,1500
2015-08-23,27.3,22.6,NA,NA,NA,NA,13.2,NA,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-08-10,1112
2015-08-27,28.3,25.9,NA,NA,NA,NA,11.3,NA,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,MyWord,2015-08-20,1001
2015-08-29,32.1,24.9,1.7,1.3,0.4,0.6,10.4,NA,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2015-08-25,900
2015-08-30,29.5,22.4,1.8,1.2,0.6,NA,12.7,NA,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,JM&A,2015-08-30,NA
2015-08-30,28.5,22.8,NA,NA,NA,NA,12.3,NA,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-08-17,1118
2015-09-05,31.5,22.7,1.6,1.1,0.3,0.5,11.8,NA,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sondaxe,2015-08-26,1000
2015-09-06,28.6,22.5,NA,NA,NA,NA,12.7,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-08-24,1096
2015-09-07,32,27.4,1.6,1.3,0.4,0.8,10,0.5,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2015-09-01,1100
2015-09-09,28,19.1,NA,NA,NA,NA,NA,NA,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2015-09-01,NA
2015-09-11,31.7,25.6,NA,NA,NA,NA,10.5,NA,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demoscopia Servicios,2015-09-03,1800
2015-09-11,23.4,24.6,NA,NA,NA,NA,16.1,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2015-09-07,1800
2015-09-13,29,22,NA,NA,NA,NA,13.2,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-08-31,1040
2015-09-20,28.6,22.5,NA,NA,NA,NA,13.7,NA,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-09-07,1054
2015-09-24,26.2,26.1,2.1,1.5,NA,NA,11,NA,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encuestamos,2015-09-03,1600
2015-09-27,27.9,23,NA,NA,NA,NA,14,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-09-14,1060
2015-10-01,28.3,22.7,1.8,1.2,0.6,NA,15.4,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,JM&A,2015-10-01,NA
2015-10-02,30.4,26.5,NA,NA,NA,NA,12.3,NA,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demoscopia Servicios,2015-09-29,1000
2015-10-02,33.8,24.8,2,1.2,0.4,0.6,11.7,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2015-09-28,1500
2015-10-04,27,21.9,NA,NA,NA,NA,16.5,NA,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-09-21,1040
2015-10-07,28.9,27.1,1.5,1.3,0.4,0.7,16.2,0.5,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2015-10-01,1100
2015-10-08,23.4,23.5,NA,NA,NA,NA,21.5,NA,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2015-10-07,1200
2015-10-09,27.6,24.6,2.6,1.4,NA,NA,17.2,NA,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2015-10-05,NA
2015-10-09,28,20.3,NA,0.3,NA,NA,22.6,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2015-10-01,1047
2015-10-11,26.9,21,NA,NA,NA,NA,NA,NA,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-09-28,1072
2015-10-12,29.1,25.3,NA,0.7,0.6,0.5,NA,NA,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2015-10-01,2493
2015-10-15,30.9,24.5,NA,NA,NA,NA,14.9,NA,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2015-10-08,NA
2015-10-15,27.4,23.7,2,1.5,NA,NA,NA,NA,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2015-10-13,1800
2015-10-17,31.3,24.9,NA,1.3,0.4,0.6,15.4,0.4,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2015-10-12,1500
2015-10-18,26.7,21.3,NA,NA,NA,NA,18.1,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-10-05,1050
2015-10-19,27.7,21.8,2.5,1.6,0.5,0.6,17.6,NA,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAD3,2015-09-14,2600
2015-10-22,29.5,24.1,1.6,1.3,NA,NA,16.6,NA,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demoscopia Servicios,2015-10-19,1500
2015-10-22,27.4,22.9,1.6,1.2,0.6,NA,17.7,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,JM&A,2015-10-22,NA
2015-10-23,28.6,23.9,NA,NA,NA,NA,18.3,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2015-10-19,NA
2015-10-25,26,20.5,NA,NA,NA,NA,19.2,NA,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-10-12,1009
2015-10-26,27,18.2,NA,NA,NA,NA,20.3,NA,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,DYM,2015-10-15,1002
2015-10-26,23.5,26.3,2,1.4,NA,NA,15.2,NA,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encuestamos,2015-10-03,1800
2015-10-26,26.3,21.6,NA,NA,NA,NA,18.6,NA,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,MyWord,2015-10-22,1001
2015-10-28,23.5,21,NA,NA,NA,NA,22.5,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2015-10-26,1400
2015-10-29,27.8,22.1,2.6,1.6,0.5,0.6,17.5,NA,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAD3,2015-10-14,2800
2015-11-01,26.7,19.3,NA,NA,NA,NA,19.8,NA,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2015-10-19,1010
