date,PP,PSOE,ERC,PNVEAJ,CC,BNG,Cs,VOX,Podemos,EHBildu,PACMA,PDeCAT,Comp,JuntsxCat,Naplus,MP,CUP,Sumar,firm,date_from,sample_size
2012-09-12,31.1,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MyWord,2012-09-07,1100
2012-09-13,34.7,26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2012-09-03,1776
2012-09-21,34.1,29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2012-09-17,NA
2012-09-30,38.6,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2012-09-25,NA
2012-10-04,29.9,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2012-10-03,1000
2012-10-05,32.8,28,1.5,1.7,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2012-10-01,1100
2012-10-11,34.1,24.5,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2012-10-01,NA
2012-10-14,35.9,28.6,1.3,1.4,0.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2012-10-02,2484
2012-10-17,29.4,27.3,1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intercampo,2012-09-15,1724
2012-10-26,32.9,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2012-10-22,NA
2012-10-31,33,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MyWord,2012-10-26,1000
2012-11-07,31.8,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2012-11-06,1000
2012-11-08,34.5,24.3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2012-11-01,1025
2012-11-09,33.6,28.3,1.9,1.7,0.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2012-11-05,1100
2012-11-09,32,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2012-11-05,NA
2012-11-29,31.3,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2012-11-28,1000
2012-12-10,33.6,23,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2012-12-03,1009
2012-12-12,33.1,28.5,1.8,1.5,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2012-12-03,1100
2012-12-21,30.9,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2012-12-17,NA
2012-12-28,36.7,30.7,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2012-12-21,1000
2013-01-09,32.8,28.6,1.7,1.6,0.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2013-01-02,1100
2013-01-10,29.8,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2013-01-09,1000
2013-01-11,30.6,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-01-08,NA
2013-01-11,32.5,25.5,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2013-01-07,NA
